url,page,title,store,brand,tech,size,resolution,price
https://www.overstock.com/Electronics/Refurbished-Samsung-55-in.-QLED-4K-Ultra-HD-Smart-LED-W-WIFI-Black/20099339/product.html,1,Refurbished Samsung 55-inch QLED 4K Ultra HD Smart TV - Black,Overstock,SAMSUNG,QLED,55,2160p,$819.99
https://www.frys.com/product/10014221,3,"Samsung QN55Q70T 55"" Class (54.6"" Actual Diagonal Size) QLED 4K UHD HDR Smart TV ",Frys,SAMSUNG,QLED,55,2160p,$897.99
https://www.overstock.com/Electronics/Samsung-QN55Q70TA-55-QLED-4K-UHD-Smart-TV-Grey/31056169/product.html,1,"Samsung QN55Q70TA 55"" QLED 4K UHD Smart TV - Steel",Overstock,SAMSUNG,QLED,55,2160p,$897.99
https://www.walmart.com/ip/SAMSUNG-55-Class-4K-Ultra-HD-2160P-HDR-Smart-QLED-TV-QN55Q70T-2020/835271865,5,"SAMSUNG 55"" Class 4K Ultra HD (2160P) HDR Smart QLED TV QN55Q70T 2020",Walmart,SAMSUNG,QLED,55,2160p,$897.99
https://www.bestbuy.com/site/samsung-55-class-qled-q70t-series-4k-uhd-tv-smart-led-with-hdr/6402398.p,3,"Samsung - 55"" Class - QLED Q70T Series - 4K UHD TV - Smart - LED - with HDR",Best Buy,SAMSUNG,QLED,55,2160p,$899.99
https://www.costco.com/samsung-55%22-class---q7dt-series---4k-uhd-qled-lcd-tv---squaretrade-protection-plan-bundle-included.product.100649166.html,1,"Samsung 55"" Class - Q7DT Series - 4K UHD QLED LCD TV - SquareTrade Protection Plan Bundle Included",Costco,SAMSUNG,QLED,55,2160p,$899.99
https://www.newegg.com/samsung-qled-q60-series-55/p/16C-0003-008Y4,7,"Samsung QN55Q60TA 55"" Ultra High Definition 4K QLED Quantum HDR Smart TV Bundle With a Samsung HW-T650 Bluetooth Soundbar with Dolby Audio Wireless Subwoofer (2020)",Newegg,SAMSUNG,QLED,55,2160p,$975.98
https://www.newegg.com/samsung-q60ta-55/p/16C-0003-009C6,10,"Samsung QN55Q60TA 55"" Ultra High Definition 4K QLED Quantum HDR Smart TV with a Samsung HW-Q60T Wireless 5.1 Channel Soundbar and Bluetooth Subwoofer (2020)",Newegg,SAMSUNG,QLED,55,2160p,"$1,025.98"
https://www.walmart.com/ip/Samsung-QN55Q60TA-55-Ultra-High-Definition-4K-QLED-Quantum-HDR-Smart-TV-HW-Q60T-Wireless-5-1-Channel-Soundbar-Bluetooth-Subwoofer-2020/603383353,11,"Samsung QN55Q60TA 55"" Ultra High Definition 4K QLED Quantum HDR Smart TV with a Samsung HW-Q60T Wireless 5.1 Channel Soundbar and Bluetooth Subwoofer (2020)",Walmart,SAMSUNG,QLED,55,2160p,"$1,025.98"
https://www.ebay.com/p/22037147659,4,"Samsung Q80T 55"" 4K Ultra HD HDR Smart QLED TV - 2020 Model *QN55Q80T",Ebay,SAMSUNG,QLED,55,2160p,"$1,047.60"
https://www.ebay.com/p/26032302351,10,"Samsung QN55Q80RA 55"" Q80 QLED Smart 4K UHD TV (2019 Model)",Ebay,SAMSUNG,QLED,55,2160p,"$1,079.99"
https://www.newegg.com/samsung-q80r-55/p/N82E16889356546,5,"Samsung QLED Q80R 55"" Smart 4K UHD LED TV QN55Q80RAFXZA (2019)",Newegg,SAMSUNG,QLED,55,2160p,"$1,097.95"
